Time (seconds),temp_CPU,light,temp_OUT,moist_lv,year,month,date,hour,min,sec
13322.09,15,0,16,145,2026,2,7,18,35,24
13382.09,15,0,16,145,2026,2,7,18,36,24
13442.09,15,0,16,145,2026,2,7,18,37,24
13502.09,15,0,16,145,2026,2,7,18,38,24
13562.09,15,0,15,145,2026,2,7,18,39,24
13622.09,15,0,15,146,2026,2,7,18,40,24
13682.09,15,0,15,145,2026,2,7,18,41,24
13742.09,15,0,15,146,2026,2,7,18,42,24
13802.09,15,0,15,146,2026,2,7,18,43,24
13862.09,15,0,15,147,2026,2,7,18,44,24
13922.09,15,0,15,146,2026,2,7,18,45,24
13982.09,15,0,15,145,2026,2,7,18,46,24
14042.09,15,0,15,145,2026,2,7,18,47,24
14102.09,15,0,15,146,2026,2,7,18,48,24
14162.09,15,0,15,146,2026,2,7,18,49,24
14222.09,15,0,15,146,2026,2,7,18,50,24
14282.09,15,0,15,147,2026,2,7,18,51,24
14342.09,15,0,15,145,2026,2,7,18,52,24
14402.09,15,0,15,147,2026,2,7,18,53,24
14462.09,15,0,15,146,2026,2,7,18,54,24
14522.09,15,0,15,146,2026,2,7,18,55,24
14582.10,15,0,15,146,2026,2,7,18,56,24
14642.09,15,0,15,146,2026,2,7,18,57,24
14702.09,15,0,15,146,2026,2,7,18,58,24
14762.09,15,0,15,146,2026,2,7,18,59,24
14822.09,15,0,15,146,2026,2,7,19,0,24
14882.09,15,0,15,146,2026,2,7,19,1,24
14942.09,15,0,15,146,2026,2,7,19,2,24
15002.09,15,0,15,146,2026,2,7,19,3,24
15062.09,15,0,15,146,2026,2,7,19,4,24
15122.09,15,0,15,146,2026,2,7,19,5,24
15182.09,15,0,15,146,2026,2,7,19,6,24
15242.09,15,0,15,146,2026,2,7,19,7,24
15302.10,15,0,15,146,2026,2,7,19,8,24
15362.09,15,0,15,146,2026,2,7,19,9,24
15422.09,15,0,15,147,2026,2,7,19,10,24
15482.09,15,0,15,146,2026,2,7,19,11,24
15542.09,15,0,15,146,2026,2,7,19,12,24
15602.09,15,0,15,146,2026,2,7,19,13,24
15662.09,15,0,15,146,2026,2,7,19,14,24
15722.09,15,0,15,146,2026,2,7,19,15,24
15782.09,15,0,15,146,2026,2,7,19,16,24
15842.09,15,0,15,146,2026,2,7,19,17,24
15902.09,15,0,15,146,2026,2,7,19,18,24
15962.09,15,0,15,146,2026,2,7,19,19,24
16022.10,15,0,15,147,2026,2,7,19,20,24
16082.09,15,0,15,146,2026,2,7,19,21,24
16142.09,15,0,15,146,2026,2,7,19,22,24
16202.09,15,0,15,146,2026,2,7,19,23,24
16262.09,15,0,15,146,2026,2,7,19,24,24
